id,raw_text,price_etb,image_url,listing_url,source_platform
1,"3+ YEARS ON JIJI ETB 180,000 Diaspora Opportunity: Buy a Luxury Apartment With Flexible Payment Experience the pinnacle of city living. Discover the perfect harmony at Twiinz Apartments. These... Addis Ababa, Arada",180000,https://pictures-ethiopia.jijistatic.com/11196304_MzAwLTMwMC0yMTUyNGJiYjJk.webp,https://jiji.com.et/arada/new-builds/diaspora-opportunity-buy-a-luxury-apartment-with-flexible-payment-g64BBUe3iVIGfktYSIDVaVYj.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=0,Jiji Ethiopia
2,"ETB 169,000 per month 4bdrm Apartment in Kazanchis, Kirkos for rent Modern, Luxury and Spacious four-bedroom apartment located in upper Kazanchis near Women's square,... Addis Ababa, Kirkos",169000,https://pictures-ethiopia.jijistatic.com/11700978_MzAwLTE1Ny0xYjM1NGE4N2Vj.webp,https://jiji.com.et/kirkos/houses-apartments-for-rent/4bdrm-apartment-in-kazanchis-kirkos-for-rent-pkK2yU5zeRcVt7SR3QFki2kx.html?page=1&pos=4&cur_pos=4&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=3,Jiji Ethiopia
3,"3+ YEARS ON JIJI ETB 300,000 Yamikarayi Magzen Yamikrayi magzen biro aluu Agent Unfurnished Addis Ababa, Bole",300000,https://pictures-ethiopia.jijistatic.com/10581336_MzAwLTEzNS1mZjA5MWUwMGFj.webp,https://jiji.com.et/bole/commercial-property-for-rent/yamikarayi-magzen-92FywrcdxbOmIk6Ddb94cNOo.html?page=1&pos=7&cur_pos=7&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=6,Jiji Ethiopia
4,"3+ YEARS ON JIJI DIAMOND ETB 250,000 per month Furnished 3bdrm Duplex in Bole for rent apartment for rent bisrate gebreal 3 bedroom duplex furnished apartment 250,000 birr lift ,... Addis Ababa, Bole",250000,https://pictures-ethiopia.jijistatic.com/9783715_MzAwLTQwMC0yODIyZTNhNzRm.webp,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-duplex-in-bole-for-rent-aqomP6XrBhDQQ3FRWllMvkJH.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=9,Jiji Ethiopia
5,"3+ YEARS ON JIJI DIAMOND ETB 90,000 per month Furnished 2bdrm Apartment in Bole for rent For Rent — Fully Furnished 2-Bedroom Apartment | Welo Sefer | 90,000 ETB/Month A very secure and... Addis Ababa, Bole",90000,https://pictures-ethiopia.jijistatic.com/9850744_MzAwLTIyNS1hOTI0OTAwNmJl.webp,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-apartment-in-bole-for-rent-6D86ZKFXzknL5b59B0ctjNMI.html?page=1&pos=13&cur_pos=13&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=12,Jiji Ethiopia
6,"3+ YEARS ON JIJI DIAMOND ETB 150,000 per month Furnished 1bdrm Apartment in Bole for rent Modern Fully Furnished Apartment –around Hayahulet axum Beautiful fully furnished 1 & 2 bedroom... Addis Ababa, Bole",150000,https://pictures-ethiopia.jijistatic.com/10435500_MzAwLTQwMC0wMjczNzYxYzhm.webp,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-1bdrm-apartment-in-bole-for-rent-64cddc2VMopc1JJro6057SkX.html?page=1&pos=16&cur_pos=16&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=15,Jiji Ethiopia
7,"3+ YEARS ON JIJI DIAMOND ETB 85,000 per month 3bdrm Apartment in Bole for rent Modern 3-Bedroom Apartment for Rent — Meskel Flower Discover comfort and convenience in this... Addis Ababa, Bole",85000,https://pictures-ethiopia.jijistatic.com/10569277_MzAwLTIyNS00MjMzNzA4YjJh.webp,https://jiji.com.et/bole/houses-apartments-for-rent/3bdrm-apartment-in-bole-for-rent-oOCP4xbBmTp56hTcKsGTQr0D.html?page=1&pos=19&cur_pos=19&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=18,Jiji Ethiopia
8,"3+ YEARS ON JIJI ETB 130,000 A Warehouse for Rent in the Area የሚከራይ መጋዘን ወሰን አከባቢ አለ Unfurnished 180 sqm Addis Ababa, Yeka",130000,https://pictures-ethiopia.jijistatic.com/4760337_MzAwLTEzNS1kNzNjZWY4OWQw.webp,https://jiji.com.et/yeka/commercial-property-for-rent/a-warehouse-for-rent-in-the-area-f6dAOeEaEFwWwn3Y8D6pilmx.html?page=1&pos=22&cur_pos=22&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=21,Jiji Ethiopia
9,"3+ YEARS ON JIJI ETB 220,000 Warehouse for Rent in Kaliti የሚከራይ መጋዘን ቃሊቲ አከባቢ ነዉ Unfurnished 250 sqm Addis Ababa, Akaky Kaliti",220000,https://pictures-ethiopia.jijistatic.com/4822984_MzAwLTEzNS03ZjhmMzc1Mjg1.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/warehouse-for-rent-in-kaliti-61MjvzTIgMf5FzQ0H30rbXqN.html?page=2&pos=1&cur_pos=1&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=24,Jiji Ethiopia
10,"ETB 180,000 የሚከራይ መጋዘን አያት አከባቢ በቂ ቢሮ ጋር Warehouse for Rent in Ayat Addis Ababa Warshouse for rent -Ayat Addis Ababa Total plot area= 600 Sq.m Warehouse area= 350 Sq.m Electric... Unfurnished 6000 sqm Addis Ababa, Yeka",180000,https://pictures-ethiopia.jijistatic.com/9050668_MzAwLTE0MC01YzNjZGI4MWFl.webp,https://jiji.com.et/yeka/commercial-property-for-rent/yamikaraaye-magaazane-ayaate-akabaabi-baqi-biro-gaare-warehouse-for-rent-in-ayat-addis-ababa-2P2UXNbeKpYbmfIQ9cTfCM66.html?page=2&pos=3&cur_pos=3&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=26,Jiji Ethiopia
11,"ETB 175,000 Warehouse for Rent in Kaliti Aa Warehouse for rent Total area = 700 sq Warehouse area=350 sq Electric Power = 24kw G+1... Semi-Furnished 700 sqm Addis Ababa, Akaky Kaliti",175000,https://pictures-ethiopia.jijistatic.com/7670357_MzAwLTE1OC0zZjRkN2M5NzRlLTE.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/warehouse-for-rent-in-kaliti-aa-jRDSL565Br0YeKMPxhNYJo3L.html?page=2&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=29,Jiji Ethiopia
12,"3+ YEARS ON JIJI DIAMOND ETB 120,000 per month Furnished 3bdrm Apartment in Bole for rent Modern Fully Furnished Apartment for Rent in Bole Enjoy comfort and convenience in this beautifully... Addis Ababa, Bole",120000,https://pictures-ethiopia.jijistatic.com/9503521_MzAwLTIyNS04Mzc0ZDY3NGEx.webp,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-apartment-in-bole-for-rent-nGe9nLGUOdEEdw2szd4gwmUn.html?page=2&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=32,Jiji Ethiopia
13,"3+ YEARS ON JIJI ETB 380,000 ለክራይ የቀረበ መጋዘን ነዉ የሚከራይ መጋዘን ቃሊቲ አከባቢ 650ካሬ የጋራ ጊቢ ማብራት 315አለዉ Agent Unfurnished Addis Ababa, Akaky Kaliti",380000,https://pictures-ethiopia.jijistatic.com/8181767_MzAwLTEzNS1lY2EwNDQwNjA0.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/lakeraaye-yaqaraba-magaazane-nawu-ufstKWyWhfjtpUmoYmACzq3M.html?page=2&pos=11&cur_pos=11&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=34,Jiji Ethiopia
14,"3+ YEARS ON JIJI ETB 320,000 የሚከራይ መጋዘን አለ የሚከራይ መጋዘን አለ 600ካሬ ጠቅላላ 1200 ካሬ ነዉ Agent Unfurnished Addis Ababa, Bole",320000,https://pictures-ethiopia.jijistatic.com/6256913_MzAwLTEzNS02NmQ2YzJhZTkw.webp,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-ala-l28UWYDyBVruuuscxL1om8s0.html?page=2&pos=14&cur_pos=14&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=37,Jiji Ethiopia
15,"3+ YEARS ON JIJI DIAMOND ETB 70,000 per month 2bdrm Apartment in Chaka Buna, Bole for rent New building on 6th floor Lift and generator available Big opeb space as common area on the top... Addis Ababa, Bole",70000,https://pictures-ethiopia.jijistatic.com/9428627_MzAwLTQwMC1kZmI3YjY3NDg4.webp,https://jiji.com.et/bole/houses-apartments-for-rent/2bdrm-apartment-in-chaka-buna-bole-for-rent-19C4pep0XyXOCrSmeedfvyfX.html?page=2&pos=17&cur_pos=17&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=40,Jiji Ethiopia
16,"3+ YEARS ON JIJI ETB 60,000 ለክራይ ቀረበ መጋዘን የሚከራይ ቢሮ አለ ወሰን አከባቢ ከአስፓልት ገባ ያለነዉ Unfurnished 130 sqm Addis Ababa, Bole",60000,https://pictures-ethiopia.jijistatic.com/3336248_MzAwLTY2Ny0zNDk3NWI2MmRj.webp,https://jiji.com.et/bole/commercial-property-for-rent/lakeraaye-qaraba-magaazane-8yKkuoQNeBIvXfb0J5XE2qAQ.html?page=2&pos=20&cur_pos=20&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=43,Jiji Ethiopia
17,"ETB 190,000 የሚከራይ መጋዘን CMC የተባበሩት አከባቢ Warehouse for Rent Around CMC Addis Ababa Warehouse for Rent CMC area የሚከራይ መጋዘን አዲስ አበባ ለከባድ ተሽከርካሪ ምቹ አከባቢ Warehouse =400 square.m ◉ Near... Unfurnished 400 sqm Addis Ababa, Bole",190000,https://pictures-ethiopia.jijistatic.com/8802227_MzAwLTE5OC1lNjZlZTAyOTIx.webp,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-cmc-yatabaabarute-akabaabi-warehouse-for-rent-around-cmc-addis-ababa-fAGmcXZ1P9PQhYWaWJPHVrHp.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=49,Jiji Ethiopia
18,"3+ YEARS ON JIJI ETB 240,000 Yemikeryi Megzen የሚከራይ መጋዘን አለ 500 ካሬ ጠቅላላ 1100 አለ Unfurnished 500 sqm Addis Ababa, Akaky Kaliti",240000,https://pictures-ethiopia.jijistatic.com/3702337_MzAwLTEzNS1hMzQzZWY1NmMx.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/yemikeryi-megzen-82B2ABKtjRAm2pP0LRkc2WlE.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=52,Jiji Ethiopia
19,"3+ YEARS ON JIJI ETB 300,000 Ymikerayi Megezen Yemikerayi megezen HAYAT akebabi megezenu 600 kare biro aelu 3fez alau Unfurnished 3000 sqm Addis Ababa, Bole",300000,https://pictures-ethiopia.jijistatic.com/3571694_MzAwLTEzNS0wN2E0NWYzZjBh.webp,https://jiji.com.et/bole/commercial-property-for-rent/ymikerayi-megezen-BQWugQgJdbfsrA6mMnhUiuvi.html?page=3&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=53,Jiji Ethiopia
20,"ETB 110,000 Warehouse for Rent in Lafto Area መጋዘን ኪራይ (ሰቶር ኪራይ ) warehouse for rent Total area = 450 sq Warehouse area=200 sq Nifas Silk Lafto... Unfurnished 450 sqm Addis Ababa, Nifas Silk-Lafto",110000,https://pictures-ethiopia.jijistatic.com/7670400_MzAwLTExMS0zMjU5ZTM5ZDdhLTE.webp,https://jiji.com.et/nifas-silk-lafto/commercial-property-for-rent/warehouse-for-rent-in-lafto-area-hSKHZDsTQKSuaSNrirLS7gVN.html?page=3&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=56,Jiji Ethiopia